Issues found in 6 inputs. Find details below.

[target/energized.txt]:
✗ [404] https://raw.githubusercontent.com/Clefspeare13/pornhosts/master/download_here/0.0.0.0/hosts | Network error: Not Found

[target/oisd_full.txt]:
✗ [503] https://curben.gitlab.io/malware-filter/pup-filter-agh.txt | Network error: Service Unavailable
✗ [404] https://gitlab.com/DandelionSprout/adfilt/raw/master/Anti-Futa | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/9fw/list/master/ad5.txt | Network error: Not Found
✗ [404] https://gitlab.com/DandelionSprout/adfilt/raw/master/Anti-Elsagate | Network error: Not Found
✗ [503] https://curben.gitlab.io/malware-filter/phishing-filter-agh.txt | Network error: Service Unavailable
✗ [404] https://kriskintel.com/ktip_corona.txt | Network error: Not Found
✗ [ERR] https://threatsourcing.com/dnall-free.txt | Network error: error:1416F086:SSL routines:tls_process_server_certificate:certificate verify failed:ssl/statem/statem_clnt.c:1921: (Hostname mismatch)
✗ [400] https://cdn.jsdelivr.net/gh/o0HalfLife0o/[email%C2%A0protected]/ad.txt | Network error: Bad Request
✗ [ERR] https://git.sourceforge.jp/view?p=ayucat-list/ayucat-list.git;a=blob_plain;f=ayucat-list.txt;hb=b254c74c132832a3ade7b9d42c2ef8d3dd59fdb9 | Network error: error:1416F086:SSL routines:tls_process_server_certificate:certificate verify failed:ssl/statem/statem_clnt.c:1921: (Hostname mismatch)
✗ [404] https://gitlab.com/DandelionSprout/adfilt/-/raw/master/AdGuard | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/xinggsf/Adblock-Rule/master/rule.txt | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/Esox-Lucius/PiHoleblocklists/main/Malware%20-%20Win32 | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/fandagroupofficial/pihole/adlists/add-block-list-ads | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/DandelionSprout/adfilt/master/AncientLibrary/gmbkslist | Network error: Not Found
✗ [404] https://trli.coding.net/p/file/d/file/git/raw/master/ad-hosts | Network error: Not Found
✗ [400] https://cdn.jsdelivr.net/gh/privacy-protection-tools/[email%C2%A0protected]/anti-ad-surge.txt | Network error: Bad Request
✗ [404] https://raw.githubusercontent.com/fandagroupofficial/pihole/adlists/add-block-list-log | Network error: Not Found
✗ [404] https://raw.githubusercontent.com/masterinspire/Master-AdRules/master/Master-AdRules.txt | Network error: Not Found
✗ [404] https://gitlab.com/DandelionSprout/adfilt/raw/master/Other | Network error: Not Found
✗ [ERR] https://smartadblock.co.uk/filters/sabfilter.txt | Network error: error:1416F086:SSL routines:tls_process_server_certificate:certificate verify failed:ssl/statem/statem_clnt.c:1921: (Hostname mismatch)
✗ [404] https://raw.githubusercontent.com/yiclear/rules/master/ChinaList2.0.txt | Network error: Not Found
✗ [404] https://thegreencat.x10.mx/FSMA__companies_operating_unlawfully_in_Belgium.txt | Network error: Not Found
