2023-12-23 13:30:49.112183 [NOTICE] [Context.cc:310] Downloading 326 item(s)
2023-12-23 13:30:49.154932 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/3coresec
2023-12-23 13:30:49.193096 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/additional_hosts_unwanted_iranian
2023-12-23 13:30:49.196909 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/additional_hosts_adservers_and_trackers
2023-12-23 13:30:49.212957 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/1hosts_official_pro_inclusions
2023-12-23 13:30:49.215647 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/1hosts_staged_inclusions
2023-12-23 13:30:49.219108 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/1hosts_staged_pro_inclusions
2023-12-23 13:30:49.222953 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abuse_ch_sslbl
2023-12-23 13:30:49.224446 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/alienvault
2023-12-23 13:30:49.225039 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/ayashige
2023-12-23 13:30:49.229202 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/1hosts_official_inclusions
2023-12-23 13:30:49.234775 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abuse_ch_feodotracker
2023-12-23 13:30:49.238057 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/additional_hosts_activation
2023-12-23 13:30:49.239878 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blp_smart_tv
2023-12-23 13:30:49.240605 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blp_vaping
2023-12-23 13:30:49.242813 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/additional_hosts_fake_domains
2023-12-23 13:30:49.244473 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/additional_hosts_parking_iranian
2023-12-23 13:30:49.247082 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/anti_axelspringer
2023-12-23 13:30:49.249134 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/additional_hosts_search_blacklist
2023-12-23 13:30:49.255479 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blockconvert_adblock
2023-12-23 13:30:49.255975 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blp_whatsapp
2023-12-23 13:30:49.259080 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abvpn_adult
2023-12-23 13:30:49.259801 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/blockconvert_internal
2023-12-23 13:30:49.263540 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/apple_telemetry
2023-12-23 13:30:49.265241 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abvpn_ads
2023-12-23 13:30:49.267217 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/abvpn_general
2023-12-23 13:30:49.268141 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/antispam_it
2023-12-23 13:30:49.295476 [NOTICE] [RequestGroup.cc:1214] Download complete: /tmp/tmp.qb2loS1L1Z/BLOCK/botvrij_ioc_ip_src
