host=adaway.org, protocol=https, dl_speed=2176636, sc_avg_speed=2176636, mc_avg_speed=0, last_updated=1764250785, counter=1, status=OK
host=adlock.dinis.ru, protocol=https, dl_speed=333847, sc_avg_speed=333847, mc_avg_speed=0, last_updated=1764250795, counter=1, status=OK
host=airvpn.org, protocol=https, dl_speed=1783899, sc_avg_speed=842308, mc_avg_speed=0, last_updated=1764250786, counter=4, status=OK
host=anti-ad.net, protocol=https, dl_speed=16720000, sc_avg_speed=16720000, mc_avg_speed=0, last_updated=1764250785, counter=1, status=OK
host=api.cybercure.ai, protocol=https, dl_speed=1453959, sc_avg_speed=1535774, mc_avg_speed=0, last_updated=1764250786, counter=2, status=OK
host=api.github.com, protocol=https, dl_speed=1115280, sc_avg_speed=1115280, mc_avg_speed=0, last_updated=1764251162, counter=1, status=OK
host=assets.windscribe.com, protocol=https, dl_speed=13085800, sc_avg_speed=13085800, mc_avg_speed=0, last_updated=1764250798, counter=1, status=OK
host=blackip.ustc.edu.cn, protocol=https, dl_speed=114911, sc_avg_speed=114911, mc_avg_speed=0, last_updated=1764250799, counter=1, status=OK
host=blocklist.greensnow.co, protocol=https, dl_speed=227836, sc_avg_speed=227836, mc_avg_speed=0, last_updated=1764250787, counter=1, status=OK
host=blocklist.net.ua, protocol=https, dl_speed=3651454, sc_avg_speed=0, mc_avg_speed=3651454, last_updated=1764250788, counter=1, status=OK
host=blocklist.palemoon.org, protocol=https, dl_speed=1238615, sc_avg_speed=1238615, mc_avg_speed=0, last_updated=1764250791, counter=1, status=OK
host=blocklistproject.github.io, protocol=https, dl_speed=33091788, sc_avg_speed=33091788, mc_avg_speed=0, last_updated=1764250786, counter=1, status=OK
host=blokada.org, protocol=https, dl_speed=6398111, sc_avg_speed=6398111, mc_avg_speed=0, last_updated=1764250785, counter=1, status=OK
host=cinsscore.com, protocol=https, dl_speed=3853428, sc_avg_speed=3853428, mc_avg_speed=0, last_updated=1764250785, counter=1, status=OK
host=codeberg.org, protocol=https, dl_speed=109420, sc_avg_speed=109420, mc_avg_speed=0, last_updated=1764250791, counter=1, status=OK
